target	config	proto	iteration	req_per_sec	transfer	lat_avg	lat_p99	non2xx	cpu_pct	mem_mb
nginx	base	http1.1	1	2309.06	120.73MB	42.16ms	115.65ms	0	231.2	22.4
nginx	base	http2	1	2435.21	127.17MB/s	207.08ms	NA	0	162.3	26.4
veil_glibc	h2_0_ktls_0_lb_cbpf_ofc_0	http1.1	1	1422.20	74.18MB	66.64ms	150.93ms	0	97.5	42.9
veil_glibc	h2_0_ktls_0_lb_cbpf_ofc_1	http1.1	1	1792.36	93.48MB	51.78ms	79.41ms	0	88.0	29.5
veil_glibc	h2_0_ktls_0_lb_kernel_ofc_0	http1.1	1	2697.62	140.72MB	36.55ms	110.64ms	0	206.8	33.1
veil_glibc	h2_0_ktls_0_lb_kernel_ofc_1	http1.1	1	3136.97	163.73MB	30.66ms	93.88ms	0	205.0	35.5
veil_glibc	h2_0_ktls_1_lb_cbpf_ofc_0	http1.1	1	1080.10	56.34MB	89.34ms	167.26ms	0	93.2	23.2
veil_glibc	h2_0_ktls_1_lb_cbpf_ofc_1	http1.1	1	1300.84	67.85MB	74.07ms	103.38ms	0	88.1	27.4
veil_glibc	h2_0_ktls_1_lb_kernel_ofc_0	http1.1	1	2160.25	112.70MB	45.35ms	125.04ms	0	223.7	31.0
veil_glibc	h2_0_ktls_1_lb_kernel_ofc_1	http1.1	1	2468.50	128.84MB	40.31ms	139.50ms	0	202.1	40.2
veil_glibc	h2_1_feat_buffering	http1.1	1	1827.57	95.57MB	53.79ms	153.30ms	0	154.5	64.9
veil_glibc	h2_1_feat_buffering	http2	1	2037.48	106.15MB/s	263.66ms	NA	0	101.0	85.7
veil_glibc	h2_1_feat_cache	http1.1	1	2157.08	112.57MB	45.90ms	133.49ms	0	179.8	61.6
veil_glibc	h2_1_feat_cache	http2	1	2472.48	128.80MB/s	208.05ms	NA	0	142.1	85.3
veil_glibc	h2_1_feat_compression	http1.1	1	2114.11	110.33MB	46.70ms	139.71ms	0	235.0	62.7
veil_glibc	h2_1_feat_compression	http2	1	2529.90	131.79MB/s	207.96ms	NA	0	151.0	86.5
veil_glibc	h2_1_feat_proxy	http1.1	1	1762.46	92.22MB	60.31ms	235.20ms	0	166.5	64.8
veil_glibc	h2_1_feat_proxy	http2	1	1985.06	103.42MB/s	275.42ms	NA	0	146.0	81.9
veil_glibc	h2_1_ktls_0_lb_cbpf_ofc_0	http1.1	1	1463.06	76.31MB	66.38ms	146.63ms	0	89.6	60.0
veil_glibc	h2_1_ktls_0_lb_cbpf_ofc_0	http2	1	2278.31	118.68MB/s	366.16ms	NA	0	67.4	75.5
veil_glibc	h2_1_ktls_0_lb_cbpf_ofc_1	http1.1	1	1849.22	96.45MB	50.49ms	69.65ms	0	78.8	58.0
veil_glibc	h2_1_ktls_0_lb_cbpf_ofc_1	http2	1	2215.00	115.39MB/s	387.17ms	NA	0	67.8	77.6
veil_glibc	h2_1_ktls_0_lb_kernel_ofc_0	http1.1	1	2703.37	141.04MB	36.59ms	111.94ms	0	211.2	61.8
veil_glibc	h2_1_ktls_0_lb_kernel_ofc_0	http2	1	2708.96	141.12MB/s	185.95ms	NA	0	107.3	80.6
veil_glibc	h2_1_ktls_0_lb_kernel_ofc_1	http1.1	1	3123.75	163.07MB	31.02ms	90.38ms	0	198.8	69.3
veil_glibc	h2_1_ktls_0_lb_kernel_ofc_1	http2	1	2756.80	143.61MB/s	182.53ms	NA	0	119.0	87.6
veil_glibc	h2_1_ktls_1_lb_cbpf_ofc_0	http1.1	1	1089.05	56.80MB	88.75ms	166.19ms	0	90.4	56.6
veil_glibc	h2_1_ktls_1_lb_cbpf_ofc_0	http2	1	1539.14	80.18MB/s	608.29ms	NA	0	68.3	74.9
veil_glibc	h2_1_ktls_1_lb_cbpf_ofc_1	http1.1	1	1292.59	67.42MB	74.90ms	96.63ms	0	101.2	57.0
veil_glibc	h2_1_ktls_1_lb_cbpf_ofc_1	http2	1	1610.51	83.90MB/s	583.71ms	NA	0	42.1	75.5
veil_glibc	h2_1_ktls_1_lb_kernel_ofc_0	http1.1	1	2213.02	115.45MB	43.83ms	113.97ms	0	82.5	64.9
veil_glibc	h2_1_ktls_1_lb_kernel_ofc_0	http2	1	2480.46	129.21MB/s	211.95ms	NA	0	9.4	78.8
veil_glibc	h2_1_ktls_1_lb_kernel_ofc_1	http1.1	1	2494.22	130.12MB	39.49ms	116.12ms	0	187.4	77.0
veil_glibc	h2_1_ktls_1_lb_kernel_ofc_1	http2	1	2513.08	130.91MB/s	208.36ms	NA	0	151.8	99.3
veil_musl	h2_0_ktls_0_lb_cbpf_ofc_0	http1.1	1	1480.61	77.22MB	65.57ms	143.32ms	0	92.8	74.7
veil_musl	h2_0_ktls_0_lb_cbpf_ofc_1	http1.1	1	1909.30	99.59MB	50.64ms	68.32ms	0	98.2	60.4
veil_musl	h2_0_ktls_0_lb_kernel_ofc_0	http1.1	1	2654.79	138.49MB	36.69ms	94.94ms	0	235.6	76.8
veil_musl	h2_0_ktls_0_lb_kernel_ofc_1	http1.1	1	3169.99	165.45MB	30.55ms	88.55ms	0	182.3	77.9
veil_musl	h2_0_ktls_1_lb_cbpf_ofc_0	http1.1	1	1020.99	53.26MB	92.92ms	184.25ms	0	86.2	52.9
veil_musl	h2_0_ktls_1_lb_cbpf_ofc_1	http1.1	1	1320.82	68.89MB	73.16ms	89.61ms	0	96.2	57.4
veil_musl	h2_0_ktls_1_lb_kernel_ofc_0	http1.1	1	2191.44	114.32MB	44.43ms	110.00ms	0	128.7	70.0
veil_musl	h2_0_ktls_1_lb_kernel_ofc_1	http1.1	1	2471.68	128.98MB	39.98ms	128.03ms	0	144.3	74.7
veil_musl	h2_1_feat_buffering	http1.1	1	1774.76	92.83MB	55.91ms	171.36ms	0	152.0	89.7
veil_musl	h2_1_feat_buffering	http2	1	2021.00	105.30MB/s	250.89ms	NA	0	83.3	110.6
veil_musl	h2_1_feat_cache	http1.1	1	2166.86	113.04MB	46.30ms	154.68ms	0	162.8	76.4
veil_musl	h2_1_feat_cache	http2	1	2461.33	128.22MB/s	210.12ms	NA	0	140.2	99.0
veil_musl	h2_1_feat_compression	http1.1	1	2128.27	111.05MB	46.18ms	130.26ms	0	217.1	77.5
veil_musl	h2_1_feat_compression	http2	1	2495.23	129.98MB/s	215.85ms	NA	0	156.8	99.3
veil_musl	h2_1_feat_proxy	http1.1	1	1779.11	93.11MB	64.53ms	274.07ms	0	192.1	80.8
veil_musl	h2_1_feat_proxy	http2	1	2041.93	106.39MB/s	266.92ms	NA	0	125.6	94.9
veil_musl	h2_1_ktls_0_lb_cbpf_ofc_0	http1.1	1	1470.14	76.68MB	65.31ms	144.40ms	0	92.0	60.9
veil_musl	h2_1_ktls_0_lb_cbpf_ofc_0	http2	1	2062.39	107.44MB/s	414.45ms	NA	0	67.8	82.7
veil_musl	h2_1_ktls_0_lb_cbpf_ofc_1	http1.1	1	1875.30	97.81MB	51.74ms	70.94ms	0	102.7	62.2
veil_musl	h2_1_ktls_0_lb_cbpf_ofc_1	http2	1	2169.94	113.04MB/s	382.41ms	NA	0	67.5	82.3
veil_musl	h2_1_ktls_0_lb_kernel_ofc_0	http1.1	1	2665.30	139.03MB	36.71ms	103.75ms	0	228.3	81.9
veil_musl	h2_1_ktls_0_lb_kernel_ofc_0	http2	1	2775.24	144.57MB/s	181.81ms	NA	0	121.3	97.8
veil_musl	h2_1_ktls_0_lb_kernel_ofc_1	http1.1	1	3177.87	165.84MB	30.48ms	93.01ms	0	164.4	84.0
veil_musl	h2_1_ktls_0_lb_kernel_ofc_1	http2	1	2685.36	139.89MB/s	187.31ms	NA	0	125.9	105.7
veil_musl	h2_1_ktls_1_lb_cbpf_ofc_0	http1.1	1	1086.94	56.69MB	88.70ms	162.43ms	0	102.2	56.2
veil_musl	h2_1_ktls_1_lb_cbpf_ofc_0	http2	1	1552.24	80.86MB/s	606.54ms	NA	0	63.9	76.2
veil_musl	h2_1_ktls_1_lb_cbpf_ofc_1	http1.1	1	1268.93	66.18MB	74.82ms	100.27ms	0	89.4	55.2
veil_musl	h2_1_ktls_1_lb_cbpf_ofc_1	http2	1	1548.38	80.66MB/s	611.63ms	NA	0	67.1	77.2
veil_musl	h2_1_ktls_1_lb_kernel_ofc_0	http1.1	1	2149.45	112.15MB	45.51ms	114.77ms	0	246.7	87.6
veil_musl	h2_1_ktls_1_lb_kernel_ofc_0	http2	1	2402.97	125.18MB/s	218.69ms	NA	0	141.0	103.8
veil_musl	h2_1_ktls_1_lb_kernel_ofc_1	http1.1	1	2463.96	128.59MB	39.68ms	120.52ms	0	192.4	86.5
veil_musl	h2_1_ktls_1_lb_kernel_ofc_1	http2	1	2490.00	129.71MB/s	205.47ms	NA	0	153.6	111.1
